clave_unica,merge_tag,fieldKey_completo,nombre,dataType,id
con_pv_25_000_cv_incluida_publicidad_12_941__cm__12_059_el_equipo_propone_subir_inversion_manteniendo_tasas_actuales_que_harias,{{contact.con_pv_25_000_cv_incluida_publicidad_12_941__cm__12_059_el_equipo_propone_subir_inversion_manteniendo_tasas_actuales_que_harias}},contact.con_pv_25_000_cv_incluida_publicidad_12_941__cm__12_059_el_equipo_propone_subir_inversion_manteniendo_tasas_actuales_que_harias,"Con PV $25.000, CV (incluida publicidad) $12.941 → CM ≈ $12.059. El equipo propone subir inversión manteniendo tasas actuales. ¿Qué harías?",CHECKBOX,mT24ZsJwagz0roFpSUlC
con_pv_25_000_y_costos_variables_totales_por_venta_incluida_publicidad_12_941_la_contribucion_marginal_es,{{contact.con_pv_25_000_y_costos_variables_totales_por_venta_incluida_publicidad_12_941_la_contribucion_marginal_es}},contact.con_pv_25_000_y_costos_variables_totales_por_venta_incluida_publicidad_12_941_la_contribucion_marginal_es,"Con PV $25.000 y Costos variables totales por venta (incluida publicidad) $12.941, la contribución marginal es:",CHECKBOX,bgJ1un7bDb8hLQissO4X
con_una_inversion_de_1_000_000_calcular_costo_por_visita_por_lead_y_por_venta_sirve_para,{{contact.con_una_inversion_de_1_000_000_calcular_costo_por_visita_por_lead_y_por_venta_sirve_para}},contact.con_una_inversion_de_1_000_000_calcular_costo_por_visita_por_lead_y_por_venta_sirve_para,"Con una inversión de $1.000.000, calcular costo por visita, por lead y por venta sirve para:",CHECKBOX,jYaxAnwYf7Y7cUrUHAqB
confirmo,{{contact.confirmo}},contact.confirmo,Confirmo,SINGLE_OPTIONS,HudixlB035LKc8zS19z7
conocs_tu_rentabilidad_real_con_total_certeza,{{contact.conocs_tu_rentabilidad_real_con_total_certeza}},contact.conocs_tu_rentabilidad_real_con_total_certeza,¿Conocés tu rentabilidad  real con TOTAL CERTEZA?,RADIO,HRY1QM3m5cH8AafhtJt9
contactmargen_marcacion_promedio_wc6_copy,{{contact.contactmargen_marcacion_promedio_wc6_copy}},contact.contactmargen_marcacion_promedio_wc6_copy,Margen bruto promedio.,TEXT,7a8fbCZ02mZu4Q6jqDsA
contactmargen_marcacion_promedio_wc6_copy_tst_copy,{{contact.contactmargen_marcacion_promedio_wc6_copy_tst_copy}},contact.contactmargen_marcacion_promedio_wc6_copy_tst_copy,Costos fijos promedio.,TEXT,sMdrf4VPngpnK8GqNh4L
contactmargen_marcacion_promedio_wc6_copy_tst_copy_zgd_copy,{{contact.contactmargen_marcacion_promedio_wc6_copy_tst_copy_zgd_copy}},contact.contactmargen_marcacion_promedio_wc6_copy_tst_copy_zgd_copy,Margen bruto de tu producto mas vendido,TEXT,NZP5f4sNYbK4YoPgau79
contacto_mati,{{contact.contacto_mati}},contact.contacto_mati,Contacto Mati?,SINGLE_OPTIONS,LatAv9YecpA4MpLCuMah
contame_brevemente_sobre_tu_negocio_y_por_qu_decids_sumarte_a_esta_llamada,{{contact.contame_brevemente_sobre_tu_negocio_y_por_qu_decids_sumarte_a_esta_llamada}},contact.contame_brevemente_sobre_tu_negocio_y_por_qu_decids_sumarte_a_esta_llamada,FV - Contame brevemente sobre tu negocio y por qué decidís sumarte a esta llamada,LARGE_TEXT,syCYLEjl4B6HzHEhiYYj
